Date,DJI,MMM,GE,NKE,AXP,GS,PFE,AAPL,HD,PG,BA,INTC,TRV,CAT,IBM,UNH,CVX,JNJ,UTX,CSCO,JPM,VZ,KO,MCD,V,DD,MRK,WMT,XOM,MSFT,DIS,DWDP,WBA,DOW,RTX,AMGN,HON,CRM,AMZN
01-04-2015,17698.17969,98.1263504,103.3669205,44.72390747,68.58462524,159.0552368,22.49803352,27.80953407,90.5092926,62.95573044,130.8079529,23.80788994,86.25249481,61.71411133,100.3476868,101.6046982,69.75708771,76.37094116,,20.21511459,46.07495117,29.93823242,30.07176399,75.77042389,61.00055313,54.52168655,40.64115143,22.20656204,55.49226379,35.28531265,97.50243378,,59.42782211,,57.85903931,119.7037506,80.84004211,65.78794098,18.51300049
02-04-2015,17763.24023,98.29544067,103.7830811,44.77332687,69.25369263,158.49263,22.53080177,28.04902267,91.63733673,63.03985977,131.3711853,23.80788994,86.7598114,62.17906189,101.1483002,101.5268326,70.08325958,76.74838257,,20.12609673,46.51301956,30.2748394,30.07176399,75.4084549,61.10348129,54.90871048,40.81270599,22.21206284,55.38715744,34.91270447,98.02028656,,60.63384628,,58.46297073,118.774147,81.05147552,66.38529205,18.61249924
06-04-2015,17880.84961,99.91352844,104.7817917,44.8047905,69.19289398,158.906311,22.59633446,28.50337601,91.96535492,63.50637054,132.8232574,23.98561287,87.07386017,63.14772797,102.1506653,101.8209763,71.17500305,76.37865448,,20.19285774,46.47460175,30.37275314,30.43397331,75.76254272,61.01925659,55.40953064,40.86986923,22.28359985,55.93247604,36.00452423,97.67812347,,62.07263565,,58.82735825,118.3169632,81.81884003,67.63972473,18.85199928
07-04-2015,17875.41992,100.3543243,104.1159744,44.75086975,68.0632782,159.1876221,22.63565826,28.2034626,91.44533539,63.00924683,134.0465393,24.15561867,86.43769073,62.41154861,102.1695557,101.5182037,72.25339508,77.10272217,,20.31897545,46.76664352,30.1524353,30.31570053,75.81764984,61.58078384,55.22740555,41.0485611,22.14877892,56.33982849,35.98719025,97.49317932,,61.55778503,,58.64266205,119.8408966,81.53696442,67.8985672,18.72050095
08-04-2015,17902.50977,100.390564,104.0743866,45.30345535,68.37607574,159.3283691,22.70119476,28.11169434,92.47738647,63.29986572,134.9617615,24.19425774,86.43769073,62.33404541,102.0309067,102.2448807,71.00190735,77.14891052,,20.43766403,46.92036438,30.40618134,30.22699547,76.21109772,62.23590088,55.05667496,40.84843445,22.29460526,55.2294426,35.89188385,98.35318756,,61.8399086,,58.81736755,122.1648941,81.31768799,67.90853119,19.05999947
09-04-2015,17958.73047,100.7045059,107.070488,45.24954987,68.78448486,161.2561951,22.95678139,28.32655334,91.66134644,63.39165878,135.0145264,24.14016151,86.40550995,62.52005768,102.339798,102.5563049,71.19496155,78.05013275,,20.49701118,47.24314499,30.33192253,30.34526825,75.97502136,62.17973709,55.47782898,41.0485611,22.24232674,55.61711884,35.94386673,98.73230743,,65.32403564,,58.83731842,123.0487366,81.74053192,67.44060516,19.17700005
10-04-2015,18057.65039,100.8735504,118.6389694,44.91260529,69.15812683,161.8767548,23.2254734,28.44741631,92.19737244,63.74344254,135.8593597,24.67334175,86.68732452,64.00785065,102.667572,102.9456177,71.1683197,78.61240387,,20.80117416,47.41991425,30.46188736,30.21961212,76.95864868,62.0861702,55.07944107,40.91991806,22.19005203,56.21500015,36.15184784,98.89876556,,64.90085602,,59.12683868,124.4888153,81.98325348,67.34104919,19.13249969
13-04-2015,17977.03906,100.1309128,114.9769821,44.59811401,68.88005066,161.8271179,22.99609756,28.39146805,91.5573349,63.80461502,134.8561249,24.51880455,86.86450195,63.65140152,102.3650131,103.2656784,70.89542389,77.4493103,,20.75666428,47.70428467,30.35048103,30.08654976,76.67534637,61.40296936,54.94285583,40.54823685,22.09100342,56.07043457,36.18649673,98.49189758,,64.68222809,,58.6027298,123.8106842,80.87136078,66.78353119,19.11800003
14-04-2015,18036.69922,100.2214813,115.3931427,44.71493149,69.07123566,163.5977936,22.95678139,28.26836777,91.24533844,63.93462753,134.8297424,24.3333416,86.80004883,64.31782532,102.3145676,103.7414703,72.45309448,77.4262085,,20.63054466,48.44978714,30.43712616,29.94608879,76.78552246,61.32808304,55.58024979,41.28443909,22.0524807,56.91801071,36.09119415,98.63059235,,64.87265778,,58.74250412,123.8716888,80.84786224,66.61427307,19.25550079
15-04-2015,18112.60938,100.4931717,114.2695618,44.84970093,69.29716492,166.3944702,23.07473183,28.37579536,90.76528931,63.86579895,134.1433105,25.36881065,87.03359222,65.99165344,103.4681854,101.4922409,73.49823761,77.48783112,,20.95695877,49.34899902,30.56709671,29.86478233,75.88847351,61.46847534,57.03722,41.77761841,21.93967056,57.87068939,36.61977386,98.92650604,,64.56230164,,58.83234406,126.081337,81.27071381,66.91294861,19.17250061
16-04-2015,18105.76953,100.1610794,113.5205231,44.88114929,70.30513,165.6580963,23.06163025,28.23927116,90.70129395,63.85815811,133.7384796,25.3997097,87.50871277,65.8978653,102.8378067,105.1948242,73.33180237,76.86391449,,21.21659851,49.04157257,30.49282265,30.0126152,75.25107574,61.44040298,56.62744522,41.34161758,21.80210304,57.64074326,36.53311157,99.96218872,,63.13763046,,58.63767624,127.1480484,81.37247467,67.60986328,19.30200005
17-04-2015,17826.30078,97.63728333,113.3956909,44.27464294,67.18566132,163.2916412,22.96333313,27.92144394,89.68523407,63.11634064,131.652832,25.09062386,84.87546539,65.06968689,101.2870102,102.6947174,72.63283539,76.70218658,,20.71214867,48.2960701,30.26384354,29.79085541,74.6608963,60.38286972,56.52500916,40.6554451,21.42790985,57.11510468,36.06517792,98.6583252,,61.3320961,,57.45473862,124.6412125,79.63415527,65.51913452,18.77799988
20-04-2015,18034.92969,99.32788086,112.4386063,44.92158127,67.10743713,163.9122314,22.94367027,28.55933571,90.29327393,63.37637329,134.3545074,25.29153252,85.47138214,66.10103607,104.7479324,102.5822525,73.41832733,77.18742371,,21.12757874,48.603508,30.56089401,30.05697632,75.68386078,60.57003403,57.0144577,41.17721558,21.49945068,57.31880188,37.18301773,100.0731583,,61.4449501,,58.15353775,126.462326,80.32323456,66.60432434,19.47550011
21-04-2015,17949.58984,99.01997375,110.774086,45.05636597,67.15087128,162.8696136,22.86502838,28.40489388,90.54129028,63.53694916,134.935379,25.05971909,82.04091644,65.56970978,103.5501633,103.1878357,73.04556274,77.25675201,,21.28336906,47.88875198,30.430933,30.14569092,74.6530304,61.15964508,56.5136261,41.21295929,21.46918297,57.08227921,36.94904709,99.57379913,,61.4237709,,58.37313843,128.3596039,79.34444427,67.0821991,19.55900002
22-04-2015,18038.26953,99.42445374,111.9808578,44.99346161,68.15885162,164.0942688,22.89123726,28.78762627,90.3972702,63.54457855,133.052063,25.26835251,82.15365601,66.31199646,104.2436142,101.916153,72.8924408,77.35687256,,21.23143387,48.37293625,30.67850304,30.53746986,76.99012756,63.64909363,56.93477631,41.2344017,21.57924271,57.46334076,37.25233841,99.81423187,,61.37440109,,58.37812424,128.8472443,80.01785278,67.41074371,19.48999977
23-04-2015,18058.68945,96.3995285,111.731163,45.42474365,67.90686035,164.9133911,23.17303848,29.0226326,91.17330933,62.40595245,131.8904266,24.99789429,83.32938385,66.24948883,107.3199615,102.3054428,73.20532227,77.37998962,,21.27594376,48.26533508,30.97556686,30.27135086,76.32910919,63.3776741,58.05025101,41.10575104,21.78559494,57.5159111,37.55563354,100.7944336,,61.14165115,,58.52786255,128.9005737,80.65995789,68.16738129,19.49950027
24-04-2015,18080.14063,95.99501038,111.5231018,45.35286331,67.76785278,163.8212433,23.11405945,29.15916634,90.96529388,62.44450378,130.596756,24.78925896,83.70783234,66.10103607,107.0300217,102.6773987,73.13876343,77.85758209,,21.37980461,48.11162186,30.96318436,30.22699547,77.69831848,63.1530571,58.18683624,41.17007446,21.96718788,57.14140701,41.48103333,101.2845306,,60.64091492,,57.97883606,127.9405518,80.26059723,67.5302124,22.25499916
27-04-2015,18037.9707,95.38520813,111.8560028,45.34839249,67.33336639,162.6049042,22.66843033,29.68962288,89.11722565,62.13613129,130.0687561,25.11380577,83.20856476,66.67140198,107.6288834,100.5579681,73.02560425,77.47245026,,21.43172836,47.91178894,30.99413681,30.18264198,75.88847351,62.79743576,58.58522415,40.81270599,21.83786964,57.16769028,41.6196785,101.8671036,,60.73965454,,57.76919556,123.7268906,80.29193115,67.54016113,21.9279995
28-04-2015,18110.14063,95.59649658,112.8547058,44.86317444,67.33336639,163.4074554,22.59633446,29.22183418,88.46917725,61.99736786,129.8135529,25.515625,83.49040985,67.35115814,109.6398544,101.7258148,73.97087097,77.59568024,,21.75072289,48.23458481,31.2850132,30.13829422,76.19535065,62.48856354,58.98359299,42.87120056,21.76358604,57.6867485,42.59886932,101.6451645,,60.71142197,,57.93889618,123.8106842,80.59729767,66.59436035,21.46549988
29-04-2015,18035.5293,94.77539063,112.7298584,45.00243759,67.04663849,164.2928467,22.47182274,28.79209709,86.97306824,61.55794144,128.6166992,25.41517067,82.82202148,68.36691284,109.9424667,98.28276825,74.37692261,77.32608795,,21.55042648,48.88017273,31.23549843,29.93130875,76.34484863,63.02202225,58.74457169,42.65677261,21.42790985,57.73272705,42.51220322,101.5434494,,59.64644623,,57.58950806,122.660141,79.66547394,74.32006836,21.46850014
30-04-2015,17840.51953,94.42518616,112.6882782,44.40493011,67.29862213,162.5221252,22.23589706,28.01096725,85.58900452,61.29582596,126.1438446,25.15243721,81.42086029,67.88247681,107.9819183,96.37090302,73.93093872,76.40948486,,21.38721848,48.61885452,31.21692848,29.98304558,75.97502136,61.81476593,58.05025101,42.57101059,21.47469139,57.40422821,42.14825821,100.5355225,,58.48976517,,56.77593613,120.3209305,79.02342224,72.49815369,21.0890007
01-05-2015,18024.06055,95.20404816,113.6453857,45.27650833,67.49848175,163.4405823,22.33419991,28.86148262,87.64510345,61.89715576,127.3142395,25.82471657,82.23418427,68.26533508,109.4822617,97.92808533,72.58623505,77.12580109,,21.60976982,48.88785934,31.19837189,30.24177361,76.95864868,61.55271912,58.83563995,42.78543091,21.62601089,58.37661743,42.16559601,102.2000122,,58.86358643,,57.61945343,122.1877213,80.26059723,73.0357666,21.14349937
04-05-2015,18070.40039,96.01313019,113.4789124,45.29895401,68.0198288,164.9051208,22.49147987,28.80552673,88.0531311,61.94342041,126.7422409,25.83244133,82.27442169,68.21066284,109.6713638,99.10457611,72.10694885,77.29527283,,21.63944244,49.74095535,31.26643944,30.27873611,75.64450836,61.37489319,58.79012299,43.3429451,21.78559494,58.54744339,41.80165482,102.6716156,,59.33613205,,58.12357712,123.5211563,80.32323456,71.28354645,21.15200043
